model	language	cultural	cue	P(Answerable)
qwen	korean	agnostic	statue	0.21564210526315794
qwen	korean	specific_zh_code_switch	holiday	0.1208785714285714
llama	korean	specific_zh	holiday	0.5425910714285714
qwen	chinese	specific_ko	show	0.32839999999999997
qwen	korean	specific_ko	statue	0.33257142857142846
qwen	english	specific_zh	statue	0.08346785714285716
llama	korean	specific_zh	exercise	0.6236428571428572
qwen	korean	specific_ko_code_switch	eduction	0.7121446428571426
llama	chinese	specific_zh_code_switch	holiday	0.9086678571428571
llama	chinese	specific_zh	music	0.9222821428571427
qwen	english	specific_ko_code_switch	music	0.013151785714285713
llama	english	specific_ko	exercise	0.6589875000000003
llama	korean	agnostic	show	0.9259184210526316
llama	chinese	specific_zh_code_switch	exercise	0.9421035714285715
llama	english	agnostic	music	0.9602947368421054
qwen	english	specific_ko_code_switch	fashion	0.02202142857142857
qwen	chinese	specific_en	eduction	0.5295362068965516
llama	chinese	specific_zh_code_switch	show	0.971330357142857
llama	english	specific_zh_code_switch	food	0.4005
llama	chinese	specific_ko	statue	0.7598410714285713
qwen	chinese	specific_zh	music	0.6234785714285714
llama	korean	specific_ko	eduction	0.9538553571428572
llama	english	specific_zh	fashion	0.6399589285714287
llama	korean	specific_zh	statue	0.6368071428571429
qwen	english	specific_zh_code_switch	food	0.06185892857142859
qwen	korean	agnostic	exercise	0.2365447368421052
qwen	english	specific_zh_code_switch	show	0.09837142857142857
llama	korean	specific_zh	music	0.6355535714285713
qwen	chinese	specific_zh_code_switch	music	0.7012303571428572
llama	english	specific_ko_code_switch	exercise	0.3502071428571429
qwen	english	specific_zh	connection	0.28668749999999993
qwen	chinese	specific_zh	statue	0.5077428571428572
qwen	chinese	specific_en	music	0.40786034482758604
llama	korean	specific_zh_code_switch	nationality	0.5130767857142858
qwen	korean	specific_zh_code_switch	food	0.1548517857142857
llama	korean	specific_ko_code_switch	exercise	0.9936749999999998
qwen	english	specific_ko	nationality	0.22429107142857144
llama	english	agnostic	fashion	0.9843078947368421
llama	chinese	specific_zh_code_switch	fashion	0.9312107142857143
qwen	korean	specific_ko_code_switch	exercise	0.5912232142857142
llama	korean	specific_zh	eduction	0.7642357142857145
llama	english	specific_ko	fashion	0.6718446428571426
qwen	english	specific_zh_code_switch	statue	0.05062500000000002
llama	chinese	specific_ko	holiday	0.5418910714285714
qwen	korean	agnostic	fashion	0.23128157894736848
llama	chinese	specific_ko	connection	0.6915142857142857
llama	chinese	specific_ko	fashion	0.639932142857143
llama	korean	specific_zh_code_switch	statue	0.6048607142857144
llama	chinese	specific_zh	show	0.9276714285714283
qwen	chinese	specific_zh	show	0.652557142857143
llama	english	agnostic	food	0.9814684210526314
llama	chinese	specific_zh_code_switch	food	0.9546821428571428
qwen	korean	specific_zh	exercise	0.12557321428571427
llama	chinese	specific_en	nationality	0.630737931034483
llama	english	specific_zh_code_switch	statue	0.36821964285714276
llama	chinese	specific_zh_code_switch	nationality	0.940519642857143
llama	chinese	specific_en	eduction	0.8304637931034481
llama	chinese	agnostic	nationality	0.9111947368421053
qwen	chinese	specific_ko	holiday	0.2635089285714286
qwen	english	specific_ko	fashion	0.18899285714285716
llama	english	agnostic	exercise	0.9729210526315792
qwen	english	specific_ko_code_switch	food	0.0210875
llama	korean	specific_ko	show	0.9385446428571427
llama	korean	specific_ko_code_switch	food	0.9954785714285712
qwen	korean	agnostic	connection	0.22107894736842104
llama	korean	specific_ko_code_switch	holiday	0.9812124999999998
qwen	chinese	specific_en	exercise	0.25152413793103445
qwen	chinese	specific_zh_code_switch	statue	0.6850285714285717
qwen	english	specific_en	connection	0.8433431034482759
llama	korean	specific_zh_code_switch	holiday	0.47885714285714276
qwen	korean	specific_zh_code_switch	music	0.17468750000000005
llama	chinese	specific_zh	connection	0.9166
qwen	korean	specific_zh	statue	0.1363232142857143
llama	chinese	agnostic	connection	0.957757894736842
llama	chinese	specific_en	holiday	0.5092637931034483
llama	korean	specific_ko_code_switch	fashion	0.9960446428571429
llama	english	specific_en	food	0.9778586206896551
llama	english	specific_zh	exercise	0.6053
qwen	korean	specific_ko_code_switch	show	0.7188321428571426
qwen	chinese	specific_zh_code_switch	holiday	0.6802749999999999
llama	english	specific_zh_code_switch	holiday	0.2676285714285713
llama	chinese	specific_en	exercise	0.6315431034482756
qwen	korean	specific_ko	fashion	0.3914964285714285
qwen	chinese	specific_en	nationality	0.2717482758620689
qwen	korean	specific_zh_code_switch	connection	0.1498982142857143
llama	english	specific_zh	music	0.5287053571428572
llama	korean	specific_ko	food	0.9215214285714285
llama	chinese	specific_en	fashion	0.5658568965517242
qwen	chinese	specific_ko_code_switch	connection	0.14576428571428574
qwen	chinese	specific_zh_code_switch	fashion	0.6151285714285714
llama	english	specific_ko	holiday	0.5605464285714287
llama	korean	specific_ko	exercise	0.9381982142857143
llama	korean	specific_en	food	0.7633793103448274
qwen	chinese	specific_en	holiday	0.4031344827586206
llama	english	specific_ko_code_switch	nationality	0.30425535714285706
llama	korean	specific_en	show	0.8186931034482756
qwen	chinese	specific_zh_code_switch	connection	0.7669678571428571
llama	english	specific_ko	eduction	0.6966624999999999
llama	english	specific_ko	food	0.6930785714285715
llama	english	specific_en	fashion	0.9759482758620689
llama	english	specific_ko	statue	0.5883125000000001
qwen	korean	specific_en	statue	0.25394655172413794
qwen	korean	specific_en	fashion	0.26367241379310347
qwen	chinese	specific_zh_code_switch	exercise	0.6005410714285715
qwen	chinese	specific_ko_code_switch	show	0.14629821428571427
llama	english	specific_zh	show	0.6566499999999998
qwen	english	specific_ko	music	0.1610857142857143
qwen	korean	specific_zh	show	0.2157803571428571
qwen	english	specific_ko_code_switch	nationality	0.019037499999999995
llama	korean	agnostic	holiday	0.8015657894736844
llama	korean	specific_zh	connection	0.6166250000000001
qwen	english	specific_ko_code_switch	holiday	0.012235714285714284
qwen	english	specific_ko_code_switch	statue	0.004458928571428571
llama	korean	agnostic	nationality	0.8639921052631581
qwen	english	specific_en	holiday	0.6604965517241377
llama	korean	specific_ko_code_switch	nationality	0.9832625
qwen	korean	specific_en	food	0.2845189655172414
qwen	chinese	agnostic	show	0.4595105263157894
llama	chinese	specific_zh_code_switch	connection	0.961948214285714
llama	chinese	specific_zh	holiday	0.8557482142857141
qwen	chinese	specific_en	show	0.5056086206896551
llama	chinese	specific_ko_code_switch	fashion	0.3353178571428571
qwen	korean	specific_en	music	0.34873448275862057
qwen	korean	agnostic	holiday	0.22307105263157892
qwen	english	specific_zh	nationality	0.19516428571428573
qwen	chinese	agnostic	holiday	0.35762894736842105
qwen	korean	specific_zh_code_switch	show	0.17168571428571425
llama	korean	specific_ko	fashion	0.9355428571428569
qwen	english	specific_ko	statue	0.16367678571428573
qwen	chinese	specific_ko_code_switch	fashion	0.12180357142857143
llama	chinese	agnostic	show	0.9400921052631579
qwen	english	specific_zh_code_switch	eduction	0.10569464285714288
qwen	english	agnostic	food	0.45909210526315786
llama	english	specific_zh_code_switch	fashion	0.4085607142857141
llama	korean	specific_ko_code_switch	statue	0.9920553571428572
llama	chinese	specific_en	food	0.6226551724137934
qwen	korean	specific_en	show	0.38392931034482747
qwen	english	specific_zh	food	0.09169285714285716
llama	english	specific_zh_code_switch	eduction	0.45805892857142855
qwen	english	specific_en	nationality	0.7085827586206894
qwen	chinese	agnostic	music	0.3180236842105263
qwen	english	specific_ko	holiday	0.1981535714285714
llama	korean	agnostic	music	0.8947789473684211
llama	chinese	specific_en	connection	0.688360344827586
qwen	english	agnostic	show	0.4721236842105263
llama	chinese	specific_ko_code_switch	statue	0.5266624999999999
qwen	chinese	specific_zh	connection	0.6643125
llama	chinese	specific_zh	fashion	0.8698964285714281
qwen	korean	specific_zh_code_switch	exercise	0.09136428571428575
qwen	english	specific_ko_code_switch	show	0.035696428571428566
llama	english	agnostic	holiday	0.9696763157894738
qwen	english	agnostic	eduction	0.5959526315789475
qwen	korean	specific_ko_code_switch	food	0.6653553571428571
llama	chinese	specific_ko_code_switch	holiday	0.23006428571428567
llama	korean	specific_zh	food	0.7306517857142859
llama	korean	agnostic	fashion	0.9023210526315788
qwen	korean	specific_zh	music	0.22387678571428563
qwen	chinese	specific_zh	fashion	0.5243696428571428
qwen	english	agnostic	statue	0.3842921052631579
llama	chinese	specific_zh	nationality	0.8824214285714282
llama	chinese	specific_ko_code_switch	connection	0.4329124999999997
llama	chinese	agnostic	fashion	0.8401578947368424
llama	korean	specific_ko	statue	0.9079232142857138
llama	chinese	specific_ko	show	0.748517857142857
llama	english	specific_ko_code_switch	eduction	0.33367499999999983
qwen	chinese	specific_ko	statue	0.29698035714285714
llama	chinese	specific_ko_code_switch	exercise	0.5582285714285715
llama	chinese	specific_en	music	0.725408620689655
llama	korean	specific_ko_code_switch	connection	0.9914714285714282
llama	english	specific_zh	nationality	0.5415553571428571
qwen	chinese	agnostic	eduction	0.6141473684210524
llama	english	specific_zh_code_switch	music	0.3412035714285713
llama	chinese	specific_ko_code_switch	show	0.5129714285714286
qwen	korean	specific_ko_code_switch	holiday	0.5781214285714285
qwen	english	specific_zh	fashion	0.11499285714285713
qwen	korean	specific_zh_code_switch	fashion	0.15989464285714286
llama	chinese	agnostic	music	0.9454578947368425
llama	korean	specific_ko_code_switch	eduction	0.9965803571428568
qwen	english	specific_zh_code_switch	music	0.04913928571428573
qwen	chinese	specific_zh	food	0.5572839285714285
llama	korean	specific_ko_code_switch	music	0.9921785714285712
qwen	chinese	specific_zh	exercise	0.45067500000000005
qwen	english	specific_zh_code_switch	fashion	0.07222678571428573
llama	english	specific_en	music	0.9502327586206896
qwen	english	specific_ko_code_switch	eduction	0.02557321428571428
qwen	english	specific_ko	eduction	0.2063375
qwen	chinese	specific_zh	eduction	0.6089571428571431
llama	korean	specific_zh_code_switch	connection	0.6087125
qwen	korean	specific_ko	music	0.39571964285714284
qwen	chinese	specific_ko	fashion	0.23671428571428568
qwen	chinese	specific_en	fashion	0.3301086206896551
qwen	korean	specific_ko	show	0.40153928571428565
llama	korean	specific_ko_code_switch	show	0.994071428571428
qwen	korean	specific_ko_code_switch	fashion	0.7046732142857147
llama	chinese	specific_zh_code_switch	eduction	0.9663732142857144
llama	chinese	specific_ko_code_switch	food	0.48637500000000006
llama	korean	specific_zh_code_switch	food	0.676580357142857
llama	korean	agnostic	food	0.911655263157895
qwen	english	specific_zh	music	0.1102107142857143
qwen	korean	specific_zh	eduction	0.2590392857142857
llama	english	agnostic	eduction	0.9832500000000001
llama	english	specific_en	eduction	0.9768500000000001
qwen	chinese	agnostic	food	0.35362894736842104
llama	english	specific_en	nationality	0.9725379310344827
qwen	english	specific_ko	show	0.19283928571428569
qwen	english	specific_zh	show	0.17870714285714287
llama	chinese	specific_zh	exercise	0.8857874999999998
qwen	korean	specific_en	eduction	0.4773155172413794
qwen	english	specific_zh	eduction	0.16267678571428565
qwen	english	agnostic	connection	0.7151421052631577
qwen	korean	specific_zh_code_switch	eduction	0.2003625
llama	korean	specific_zh	fashion	0.6622160714285715
qwen	korean	specific_zh	connection	0.2036517857142857
qwen	chinese	specific_ko_code_switch	eduction	0.1071357142857143
llama	english	specific_en	connection	0.9787999999999999
llama	english	specific_ko_code_switch	connection	0.2676732142857142
llama	korean	specific_en	music	0.7690827586206896
qwen	korean	specific_ko	exercise	0.2933053571428571
qwen	chinese	agnostic	exercise	0.2856947368421052
llama	english	specific_ko_code_switch	show	0.3445821428571429
qwen	english	specific_en	food	0.6705120689655175
llama	chinese	specific_zh	food	0.9000142857142858
llama	english	specific_zh_code_switch	nationality	0.32020357142857137
